,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU,Mean correctness,Mean readability,Mean hallucination
0,RU,Phi4,4.0,,Food,Индонезия имеет language Индонезийский язык. ,"['Индонезийский язык - это язык, на котором говорят в Индонезии.', 'Индонезийский язык является языком Индонезии.']",Индонезия использует индонезийский язык.,Id1034,0.8072760105133057,0.3941490203142166,0.5668888252867457,,8.666666666666666,6.0,1.0
1,RU,Phi4,4.0,,Food,"Ахобланко имеет country Испания. Ахобланко имеет mainIngredients Bread, almonds, garlic, water, olive oil. Ахобланко имеет region Андалусия. Ахобланко имеет ingredient Хлеб. ","['Хлеб, миндаль, чеснок, вода и оливковое масло - основные ингредиенты Ахобланко, блюда, которое возникло в Андалусии в Испании.', 'Ахобланко - из Андалусии (Испания); ингредиенты включают в себя хлеб, миндаль, чеснок, воду и оливковое масло.', 'Ахобланко, блюдо из Андалусской области Испании, имеет основные ингредиенты хлеб, миндаль, чеснок, воду и оливковое масло.']","Ахобланко - это блюдо из Испании, основными ингредиентами которого являются хлеб, орехи, чеснок, вода и оливковое масло. Оно происходит из региона Андалусия. Хлеб - один из ингредиентов Ахобланко.",Id425,0.8269962271054586,0.5032114585240682,0.541227437359657,,8.666666666666666,7.666666666666667,0.5
2,RU,Phi4,4.0,,Food,Бионико имеет country Мексика. Мексика имеет language Испанский язык. Мексика имеет leader Сильвано Ауреолес Конехо. Бионико имеет dishVariation Зернёный творог. Бионико имеет course Десерт. ,"['Бионико - блюдо из Мексики, подающееся в качестве десерта и готовящееся из зерненого творога. Сильвано Ауреолес Конехо является здесь лидером, а язык - испанский.', 'В Мексике говорят на испанском языке, а лидером является Сильвано Ауреолес Конехо. Бионико, изобретенный в Мексике, подаётся в качестве десерта , а также его можно разнообразить с помощью использования зерненого творога.', 'Десерт, который подают в Мексике - Бионико, можно разнообразить, используя зернёный творог. Языком Мексики является Испанский, а лидером является Сильвано Ауреолес Конехо.']",Бионико находится в Мексике. В Мексике говорят на испанском языке. Руководителем Мексики является Сильвано Ауреолес Конехо. В Бионико подают десертный творог.,Id941,0.8260623415311178,0.4257345199584961,0.7453671037480124,,6.333333333333333,5.0,1.6666666666666667
3,RU,Phi4,4.0,,Building,Амдавад ни Гуфа имеет location Гуджарат. Индия имеет leader Т.С. Тхакур (муж). Ахмадабад имеет country Индия. Амдавад ни Гуфа имеет location Ахмадабад. Гуджарат имеет leaderTitle Законодательное собрание Гуджарата. ,"['Амдавад ни Гуфа находится в Ахмадабаде, Гуджарат, Индия; возглавляемом Законодательным собранием Гуджарата, в том числе его лидером Т.С. Тхакуром.']","Амдавад ни Гуфа находится в Ахмадабаде, Индия. Индия имеет лидера по имени Т.С. Тхакур (муж). Гуджарат является законодательным собранием.",Id621,0.8730168342590332,0.5643425583839417,0.6639212356663807,,3.6666666666666665,6.333333333333333,6.0
4,RU,Phi4,4.0,,Building,бул. Север Ласаль 300 имеет location Чикаго. бул. Север Ласаль 300 имеет floorCount 60. ,"['60 этажей имеет здание по бульвару Норт Ласаль 300, что находится в Чикаго.', 'Бул. Север Ласаль 300 находится в Чикаго и имеет 60 этажей.', 'Здание по бульвару Норт Ласаль 300 в Чикаго имеет 60 этажей.']",Бул. Север Ласаль 300 находится в Чикаго и имеет 60 этажей.,Id574,0.8912931084632874,0.6759019196033478,1.0,,9.333333333333334,8.333333333333334,6.0
5,RU,Phi4,4.0,,Astronaut,"Калифорния имеет gemstone Бенитоит. Шепард, Алан имеет mission Аполлон-14. Шепард, Алан имеет deathPlace Калифорния. Калифорния имеет senators Файнстайн, Дайэнн. Аполлон-14 имеет operator НАСА. ","['Дайэнн Файнстайн - сенатор Калифорнии, штата, в котором найден драгоценный бенитоит, и родины Алана Шепарда, члена экипажа НАСА ""Аполлон-14"".', 'Алан Шепард, член миссии НАСА ""Аполлон 14"", умер в Калифорнии, штат, который славится драгоценными камнями под названием бенитоит. Дайэнн Файнстайн - сенатор в Калифорнии.']","Калифорния имеет gemstone Бенитоит. Шепард, Алан имеет mission Аполлон-14. Шепард, Алан имеет deathPlace Калифорния. Калифорния имеет senators Файнстайн, Дайэнн. Аполлон-14 имеет operator НАСА.",Id712,0.7476713061332703,0.2834500968456268,0.3845645421391236,,7.333333333333333,2.6666666666666665,6.0
6,RU,Phi4,4.0,,University,"School of Business and Social Sciences at the Aarhus University имеет academicStaffSize 737. Дания имеет leader Расмуссен, Ларс Лёкке. School of Business and Social Sciences at the Aarhus University имеет city Орхус. School of Business and Social Sciences at the Aarhus University имеет country Дания. School of Business and Social Sciences at the Aarhus University имеет established 1928 год. ","['Школа бизнеса и социальных наук Орхусского университета, Дания, была основана в 1928 году и располагает преподавательским составом в 737 человек. Лидер Дании - Ларс Лёкке Расмуссен.', 'Ларс Лёкке Расмуссен - лидер Дании, где расположена Школа бизнеса и социальных наук Орхусского университета в городе Орхус. Школа была основана в 1928 году и имеет профессорско-преподавательский состав, состоящий из 737 человек.']","School of Business and Social Sciences at the Aarhus University имеет academicStaffSize 737. Дания имеет leader Расмуссен, Ларс Лёкке. School of Business and Social Sciences at the Aarhus University находится в городе Орхус. School of Business and Social Sciences at the Aarhus University находится в стране Дания. School of Business and Social Sciences at the Aarhus University была основана в 1928 году.",Id691,0.6531173884868622,0.251412957906723,0.2105313735139974,,9.5,1.0,0.0
7,RU,Phi4,4.0,,University,Мендризио имеет neighboringMunicipality Мериде. ,"['""Мендризио"" и ""Мериде"" - соседние муниципалитеты.', '""Мендризио"" - соседний муниципалитет Мериде.']",Мендризио находится рядом с муниципалитетом Мериде.,Id288,0.8279560804367065,0.4429427683353424,0.5710982050928043,,10.0,9.5,0.0
8,RU,Phi4,4.0,,Building,"Адэр Манор имеет country Ирландия. Адэр Манор имеет architect Пьюджин, Огастес Уэлби Нортмор. Пьюджин, Огастес Уэлби Нортмор имеет significantBuilding Вестминстерский дворец. Пьюджин, Огастес Уэлби Нортмор имеет birthPlace Блумсбери. Ирландия имеет leader Кенни, Энда. ","['Адэр Манор находится в Ирландии, лидером которой является Энда Кенни. Архитектор - Огастес Уэлби Нортмор Пьюджин, который родился в Блумсбери. Одним из значимых зданий, спроектированных Огастесом Уэлби Нортмором Пьюджином, является Вестминстерский дворец.', 'Адэр Манор находится в Ирландии, лидером которой является Энда Кенни. Ее архитектором был Огастес Уэлби Нортмор Пьюджин, который родился в Блумсбери. Еще одно значимое здание, спроектированное Пьюджином - Вестминстерский дворец.', 'Огастес Уэлби Нортмор Пьюджин родился в Блумсбери и был архитектором Адэр Манор в Ирландии, где лидером является Энда Кенни. Он также спроектировал выдающееся здание Вестминстерского дворца.']","Адэр Манор находится в Ирландии. Адэр Манор спроектировал Пьюджин, Огастес Уэлби Нортмор. Пьюджин, Огастес Уэлби Нортмор также спроектировал Вестминстерский дворец. Пьюджин, Огастес Уэлби Нортмор родился в Блумсбери. Ирландия возглавляет Кенни, Энда.",Id682,0.8522063692410787,0.5300441185633341,0.696619696549911,,10.0,3.5,0.0
9,RU,Phi4,4.0,,Airport,Барахас имеет runwayLength 4349.0. Барахас имеет location Мадрид. Барахас имеет elevationAboveTheSeaLevel 610.0. Барахас имеет operatingOrganisation ENAIRE. Барахас имеет runwayName 14L/32R. ,"['Аэропорт Барахас эксплуатируется компанией ENAIRE, и его можно найти в городе Мадрид. Аэропорт находится на высоте 610,0 метров над уровнем моря и имеет взлетно-посадочную полосу длиной 4349 метров, название которой - 14L/32R.', 'Аэропорт Барахас, расположенный на высоте 610 метров над уровнем моря, расположен в городе Мадрид и эксплуатируется компанией ENAIRE. Взлетно-посадочная полоса аэропорта, получившая название 14L/32R, имеет длину 4349,0.']","Барахас имеет длину взлетно-посадочной полосы 4349.0 метров, находится в Мадриде, расположен на высоте 610.0 метров над уровнем моря, управляется организацией ENAIRE и имеет название взлетно-посадочной полосы 14L/32R.",Id391,0.842456042766571,0.4852693825960159,0.7366398138718827,,9.0,6.5,0.0
