,index,Unnamed: 0,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,1739,1739,EN,Phi4,4.0,,Artist,Aaron Turner has genre Post-metal. Aaron Turner has instrument Singing. Aaron Turner has associatedBand/associatedMusicalArtist Twilight (band). Aaron Turner has origin Boston. ,"['Aaron Turner is a singer who was born in Boston. His music is post-metal, and he played with the band twilight.', 'Aaron Turner, originally from Boston, sings for a living as a post-metal music performer with the band Twilight.', 'Aaron Turner (originally from Boston) sings post-metal music for a living and played with the band Twilight.']",Aaron Turner is a Post-metal artist from Boston who sings and is associated with the band Twilight (band).,Id1740,0.7490169207255045,0.4807904561360677,0.7282913699322574,
1,609,609,EN,Phi4,4.0,,MusicalWork,Mermaid (Train song) has genre Reggae. Mermaid (Train song) has followedBy Imagine (John Lennon song). Mermaid (Train song) has producer Espionage (production team). Mermaid (Train song) has album California 37 (Train album). Mermaid (Train song) has format Music download. ,"['Produced by the Espionage production team and now available in digital format, Mermaid is a reggae inspired song on Train\'s ""California 37"" album. Train followed up Mermaid with the John Lennon song Imagine.', 'The reggae song Mermaid is included in the album California 37 by Train. The song was produced by Espionage and is distributed digitally. Train followed Mermaid with their cover of the John Lennon song Imagine.', ""Followed by the release of Imagine by John Lennon, the song Mermaid on Train's California 37 album is a digitally distributed reggae song produced by the product team Espionage.""]","""Mermaid (Train song)"" is a Reggae genre song. It is followed by ""Imagine"" (John Lennon song). The producer of ""Mermaid (Train song)"" is Espionage (production team). It is part of the album ""California 37"" (Train album). The format of ""Mermaid (Train song)"" is Music download.",Id610,0.6233027577400208,0.4208255509535472,0.5703255189055116,
2,1338,1338,EN,Phi4,4.0,,Scientist,Brandon Carter has birthDate 1942-01-01. Brandon Carter has almaMater University of Cambridge. ,"['Brandon Carter, who was born on January 1st, 1942, is a graduate from the University of Cambridge.', 'Brandon Carter was born January 1, 1942, and attended the University of Cambridge.', 'Brandon Carter, born on 01-01-1942, is a University of Cambridge alumnus.']","Brandon Carter was born on January 1, 1942, and he attended the University of Cambridge.",Id1339,0.8258820573488871,0.7109154661496481,0.9650316090710328,
3,635,635,EN,Phi4,4.0,,MusicalWork,Bootleg Series Volume 1: The Quine Tapes has producer The Velvet Underground. Bootleg Series Volume 1: The Quine Tapes has genre Rock music. The Velvet Underground has genre Proto-punk. ,"['The rock album ""Bootleg Series Volume 1: The Quine Tapes"" was produced by proto-punk band The Velvet Underground.', 'The Bootleg Series Volume I: The Quine tapes is a rock album, by the proto-punk band, The Velvet Underground.', 'Bootleg Series Volume 1: The Quine Tapes is a rock album that also fits into the proto-punk genre. It was produced by the Velvet Underground.']",Bootleg Series Volume 1: The Quine Tapes has producer The Velvet Underground and genre Rock music. The Velvet Underground has genre Proto-punk.,Id636,0.6978481809298197,0.5631839632987976,0.6683611786134864,
4,735,735,EN,Phi4,4.0,,Monument,"11th Mississippi Infantry Monument has established 2000. 11th Mississippi Infantry Monument has location Adams County, Pennsylvania. Adams County, Pennsylvania has hasToItsSouthwest Frederick County, Maryland. 11th Mississippi Infantry Monument has municipality Gettysburg, Pennsylvania. Adams County, Pennsylvania has hasToItsSoutheast Carroll County, Maryland. 11th Mississippi Infantry Monument has category Contributing property. 11th Mississippi Infantry Monument has country United States. ","['The 11th Mississippi Infantry Monument is not in Mississippi, as one might expect, but rather in Gettysburg, Pennsylvania. Part of Adams County in the U.S. state of Pennsylvania, this location is near the Maryland counties of Frederick, to the southwest, and Carroll, to the southeast. The monument was established in 2000 and is categorized as a Contributing Property.', 'Erected in 2000, the monument to the 11th Mississippi infantry is a contributing property based in the US, in Adams County, Pennsylvania, in the municipality of Gettysburg. Southwest of this is Frederick County, Maryland and Southeast is Carroll County.', 'The 11th Mississippi Infantry Monument (established in 2000) is in the municipality of Gettysburg, Adams County in Pennsylvania which is located in the southwest to the Frederick County and southeast to the Carroll Country, Maryland. It falls under the category of Contributing property of the United States.']","The 11th Mississippi Infantry Monument, established in 2000, is located in Gettysburg, Pennsylvania, Adams County, Pennsylvania. Adams County, Pennsylvania is situated to the southwest of Frederick County, Maryland, and to the southeast of Carroll County, Maryland. The monument is categorized as a contributing property in the United States.",Id736,0.7623829046885172,0.6195113261540731,0.8113891472128426,
5,752,752,EN,Phi4,4.0,,Food,Mexico has currency Mexican peso. Mexico has demonym Mexicans. Bionico has course Dessert. Bionico has ingredient Condensed milk. Bionico has country Mexico. ,"['Bionico (a dish served for dessert) is a food made with condensed milk found in Mexico. Mexicans are people in Mexico, the currency in Mexico is the Mexican peso.', 'Bionico (is a dessert) is a food made with condensed milk found in Mexico. The currency in Mexico is the Mexican peso inhabited by Mexicans.', 'Bionico (served at the dessert course) is a food made with condensed milk found in Mexico. The currency in Mexico is the peso inhabited by the Mexicans.']",Mexico has currency Mexican peso. Mexico has demonym Mexicans. Bionico has course Dessert. Bionico has ingredient Condensed milk. Bionico has country Mexico.,Id753,0.5872949361801147,0.3817465205987294,0.5791987176409968,
6,566,566,EN,Phi4,4.0,,Food,Bionico has dishVariation Honey. Bionico has country Mexico. ,"['Honey can be added to bionico, which is a food found in Mexico.', 'Bionico is a Mexico food in which honey is used as a variation.', 'Honey can be used as a variation in the dish Bionico found in Mexico.']",Bionico has a dish variation called Honey from Mexico.,Id567,0.695010264714559,0.3368655741214752,0.602248234483204,
7,135,135,EN,Phi4,4.0,,Film,Death on a Factory Farm has director Tom Simon. Death on a Factory Farm has producer Tom Simon. Death on a Factory Farm has broadcastedBy HBO. Death on a Factory Farm has musicComposer Jamie Lawrence. ,"['Death on a Factory Farm is a HBO film produced and directed by Tom Simon. Jamie Lawrence wrote the music.', 'HBO broadcasted film, Death on a Factory Farm, was directed and produced by Tom Simon. Jamie Lawrence composed the music.', ""Tom Simon is the director and producer of the film 'Death on a Factory Farm', which broadcast on HBO and featured Jamie Lawrence as the music composer.""]","Death on a Factory Farm is directed by Tom Simon, produced by Tom Simon, broadcasted by HBO, and features music composed by Jamie Lawrence.",Id136,0.7564797798792521,0.5888309280077616,0.737575833333343,
8,533,533,EN,Phi4,4.0,,MeanOfTransportation,Detroit has isPartOf Michigan. ,"['Detroit is part of Michigan.', 'The city of Detroit is located in Michigan.', 'The city of Detroit is part of Michigan.']",Detroit is part of Michigan.,Id534,0.8733663757642111,0.7239111363887787,1.0,
9,272,272,EN,Phi4,4.0,,Film,Death on a Factory Farm has musicComposer Jamie Lawrence. Jamie Lawrence has club Brentford F.C.. ,"['A person named Jamie Lawrence is a member of the Brentford F.C. while someone with the same name was the composer for ""Death on a Factory Farm"" music.', ""Jamie Lawrence, who played for Brentford F.C., wrote the music for the film 'Death on a Factory Farm'."", 'Jamie Lawrence, who composed Death on a Factory Farm also played in the club Brentford F.C.']",Death on a Factory Farm has musicComposer Jamie Lawrence. Jamie Lawrence has club Brentford F.C..,Id273,0.6762544711430868,0.4813108742237091,0.71374843364168,
10,2005,2005,EN,Phi4,,0.8,City,Ciudad Ayala has populationDensity 1604.0. Ciudad Ayala has elevationAboveTheSeaLevel 1147.0. ,"['The population density of Ciudad Ayala is 1604.0 with a elevation above the sea level for Ciudad Ayala is 1147.0.', 'Ciudad Ayala has a population density of 1604.0 have a elevation above the sea level is 1147.0.', 'Ciudad Ayala with population density of 1604 is 1147m above sea level.']",Ciudad Ayala has a population density of 1604.0 and an elevation above sea level of 1147.0.,Id227,0.8423007329305013,0.6622796456019083,0.85872194873567,
